Question,Answer,Class
Do I need to enter ‘#’ after keying in my Card number/ Card expiry date/ CVV number,Please listen to the recorded message and follow the instructions while entering your card details.,security
What details are required when I want to perform a secure IVR transaction,"To perform a secure IVR transaction, you will need your 16-digit Card number, Card expiry date, CVV number, mobile number and IVR password.",security
How should I get the IVR Password  if I hold an add-on card,An IVR password can be requested only from the registered mobile number and will be sent to the registered mobile number / email ID of the primary card holder only.,security
How do I register my Mobile number for IVR Password ,Please call our Customer Service Centre and ensure that your mobile number is updated in our records.,security
How can I obtain an IVR Password ,"By Sending SMS request: Send an SMS 'PWD<space>1234' to 9717465555 or to 5676712 from your registered (with Bank) mobile number.(Note: 1234 are the last 4 digits of your HDFC Bank Credit Card number). You will receive an SMS with the IVR password on the same number. From HDFC Bank Website: If you have registered your card for NetSafe/ Verified by Visa/ MasterCard SecureCode, you can also login in to your NetSafe/ Verified by Visa/ MasterCard SecureCode account and use the Generate IVR Password option available on the left menu. The IVR password will be sent to your registered mobile number and email ID. These are the most convenient and recommended options. To ensure convenience, make a note of the IVR password and keep it handy while performing the transaction. Note: Kindly ensure that your latest mobile number and email ID is updated with us. Premium SMS charges as per your mobile service provider will apply for an SMS sent to 5676712 View more",security
Can I use the same IVR Password  to perform multiple transactions,"No, each IVR password can be used only for a maximum of 3 attempts (including decline attempts) within the specified validity period. For further transaction attempts, a new IVR password must be generated.",security
Can I generate multiple IVR Passwords,"No, only one IVR password can be generated at a time. Only when the first one is used / expires, can the next IVR password be generated.",security
How do I register for IVR password,There is no registration process. However you will have to obtain a 3D Secure IVR password to perform a secure IVR transaction by sending an SMS prior to the transaction or through NetSafe/ Verified by Visa/ MasterCard SecureCode login account (as mentioned above).,security
What is IVR Password and how does it work,"To make telephonic (IVR) transactions more secure, all purchases/payments to merchants that you make using your mobile or telephone need to be authenticated with an additional password. While making an IVR transaction, you will be prompted to enter the IVR password after you enter the Card number, Card expiry date and the CVV number. If you fail to enter the IVR password, the transaction will be declined. View more",security
In how much time will the IVR Password be delivered to my mobile phone/email ID,"IVR 3D Secure password is delivered instantly. It takes less than a minute. However, network congestion could cause delay.",security
Can the OTP be generated prior to the transaction,"No, OTP can be generated only during the transactions.",security
Can I continue using the Verified by Visa/MasterCard SecureCode/Protectbuy password for online transactions,"Yes, you can continue using your secure password, OTP is an additional option provided for checkout.",security
On which mobile number will I receive the OTP,OTP will be sent to the registered mobile number (updated in Credit card system).,security
Is it necessary to register the card for an OTP transaction,Prior registration is not necessary for an OTP transaction.,security
Is this option available on all the online transactions,This option is available on all websites which are participating in the VBV/MSC/Portectbuy secure transaction protocol.,security
Can the OTP be used for multiple online transactions,OTP can be used only for a single online transaction.,security
How will the OTP be sent to the customers,OTP will be sent only via SMS to the customers' registered mobile number.,security
What is the validity period of the OTP,OTP is valid for a period of only 3 minutes.,security
What happens if I shop at a Verified by Visa/ MasterCard SecureCode merchant website while I'm not registered for this feature,"You will be prompted for online registration for Verified by Visa/ MasterCard SecureCode through a pop-up screen. You will need to authenticate yourself with your Credit/Debit Card number, Card expiry date and ATM PIN (or CVV2 and Date of birth for Credit Cards, along with your mobile number and email ID). For Debit Cards, you can choose your password to be used for Verified by Visa/ MasterCard SecureCode. For Credit Cards, a One Time Password one will be sent to your email ID instantly, which has to be used to complete the registration process. Thereafter, you can continue shopping on the merchant website. If you decide not to register immediately and cancel the pop-up screen, your transaction will not get authorized and you would not be able to complete the transaction on such websites. Therefore, it is strongly recommended that you don’t cancel the pop-up screen and register for Verified by Visa/ MasterCard SecureCode as it protects you from online frauds. View more",security
Where can I shop with Verified by Visa,You can shop at participating online stores that have the Verified by Visa/ MasterCard SecureCode mark.,security
How will the online store know that I have Verified by Visa/ MasterCard SecureCode,The participating online stores will automatically recognize your Visa card number if you have registered it for Verified by Visa and a pop-up will be shown asking for your Verified by Visa password.,security
How can I register / re-set password for VBV/MSC if my mobile number/ email ID is not updated in the bank's records,You will have to first have to get the details updated in our system by calling our Customer Care Centre and register after 1 working day. It is mandatory to have at least one email ID and one mobile number registered. The same will apply if there is a recent change in your mobile number or email ID.,security
"Once I have registered, how long does it take for Verified by Visa / MasterCard SecureCode to become active for my card",The Verified by Visa / MasterCard SecureCode gets activated for your HDFC Bank Card as soon as your registration is successful. You can start shopping at participating stores once you are registered with the added security of Verified by Visa/MasterCard SecureCode.,security
What will happen if I try to register again & generate an OTP within 2 hours,"You will get a pop-up message stating Your earlier request is being processed. If you do not receive your OTP within 2 hours, please try again later. Only on expiry of the OTP generated through an earlier request, you can register again to generate a new OTP.",security
"If my account is blocked, how do I unblock it","If your account gets blocked, please contact your nearest Customer Call Centre (for Credit Cards) and PhoneBanking centre (for Debit Cards).",security
"How do I use Verified by Visa / MasterCard SecureCode when I shop online, once I’m registered","Once you have registered, you can use Verified by Visa/ MasterCard SecureCode service right away on participating merchant sites. For a full listing of these merchants, please visit your local Visa/ MasterCard website or www.visa-asia.com/verified/ or www.mastercard.com/securecode You will also find the Verified by Visa/ MasterCard SecureCode online shopping demo on these websites. View more",security
How does Verified by Visa/ MasterCard SecureCode work,"Verified by Visa/ MasterCard SecureCode provides you with a Password/ SecureCode that protects your online transactions, just like the way you use your PIN at an ATM. All you need to do is follow the simple steps: Select the goods and services you want from the Verified by Visa (VBV) / SecureCode merchant site and proceed to the payment page. Enter your HDFC Bank Debit/ Credit Card number and the online store will connect with HDFC Bank to check whether your Card is secured with Verified by Visa/ MasterCard SecureCode. HDFC Bank initiates a Verified by Visa/ MasterCard SecureCode pop-up window on your computer screen that includes your Personal Assurance Message (PAM) or Personal Greeting message. Look for and confirm your PAM/ Personal Greeting then enter your password. HDFC Bank will then confirm your identity to the merchant. Your payment is authorized and your order is placed. View more",security
I suspect someone has stolen my password or used it to make fraudulent purchases. What should I do,"If you suspect any fraudulent activities, contact HDFC Bank immediately at your nearest customer Call Centre (for Credit Cards) or PhoneBanking Centre (for Debit Cards) and report the loss.",security
My spouse and I both have the same card number. How does Verified by Visa/ MasterCard SecureCode work for both of us,Verified by Visa / MasterCard SecureCode will still work for both of you. You will only need to register the primary card.,security
What is Verified by Visa/MasterCard SecureCode,"Verified by Visa/ MasterCard SecureCode is a service that lets you use a personal password/ SecureCode with your HDFC Bank card. This SecureCode gives you added assurance that only you can use your HDFC Bank Card to make purchases over the Internet. Just turn on your computer, connect to the Internet and pull out your HDFC Bank Card. You don't need any special software. Use Verified by Visa/ MasterCard SecureCode as easily as you use your PIN at an ATM. View more",security
How do I register my HDFC Bank Card,You can register your HDFC Bank Card through the HDFC Bank Website or through any participating online shopping site when prompted for registration.,security
Can I register for Verified by Visa/MasterCard SecureCode with my existing HDFC Bank Card or do I need to apply for a new one,"Yes, you can register with any of your HDFC Bank Cards to be protected by Verified by Visa/ MasterCard SecureCode. You don’t need to apply for a new HDFC Bank Card.",security
Can I register more than one HDFC Bank Credit/ Debit Card,"Yes, you can register all of your HDFC Bank Credit and Debit Cards for Verified by Visa/MasterCard SecureCode.",security
"If I have just received a renewed card, do I need to re-register","No, you do not have to re-register your renewed card since the card number remains the same. You need to re-register only if your card number has changed due to card replacement/ re-issue/ upgrade.",security
Can I register my non-Visa payment Cards with Verified by Visa and non- MasterCard payment Cards with MasterCard SecureCode,"Currently, Verified by Visa is only offered to protect Visa Cards and MasterCard SecureCode to protect MasterCard Cards.",security
Can I use Verified by Visa/ MasterCard SecureCode from any other computer,"Yes, you can use Verified by Visa/ MasterCard SecureCode from any computer that has an Internet connection and Internet Explorer, 5.0 and above or Mozilla Firefox 1.5 and above or Netscape Navigator 8.1 and above.",security
Do I need any special equipment or software on my computer,No. All you need is an Internet connection and Internet Explorer 5.0 and above or Mozilla Firefox 1.5 and above or Netscape Navigator 8.1 and above. Find out if you browser is compatible by going to the Help menu on the upper right-hand side of your browser and select the About option. It will tell you what version is installed on your computer.,security
What is a Personal Assurance Message or Personal Greeting,"When you register for Verified by Visa/ MasterCard SecureCode, you are asked to create a Personal Assurance Message/ Personal Greeting. So when you pay online, always look for your Personal Assurance Message/ Personal Message to ensure that HDFC Bank is authenticating you. View more",security
How can I register for VBV/SC if my mobile number / Email ID is not updated in my Credit Card records with the Bank,"You will have to first have the details updated in our system by calling our Customer Care Centre, and attempt to register later. The same will apply if there is a recent change in your mobile number.",security
How long does it take for the IVR Password  to get delivered using Verified by Visa/Mastercard Secure Code,"The IVR Password will get delivered instantly, in less than a minute. Please ensure that you also check your Spam, Junk and all other folders for the IVR Password mailer from HDFC Bank.",security
"If I have registered two email IDs, on which email ID will I receive the IVR Password ","If there are 2 email IDs updated in our system, IVR Password will be sent to both email IDs. However, only one of them is required for validation during registration / password reset.",security
What is the validity of the IVR Password  using Verified by Visa/Mastercard Secure Code,"The IVR Password is valid for 2 hours. If you do not use it within 2 hours of generation of IVR Password , it will expire. You will have to attempt registration again and use the new IVR Password . On expiry of IVR Password generated through the earlier request, you can attempt registration again to generate another IVR Password .",security
What are the other things that I need to keep in mind about the IVR Password using Verified by Visa/Mastercard Secure Code,"If you have provided 2 email IDs for our records, you need to enter any one of them for validation. Also if your email ID and mobile number are not updated, please have the details updated in our system by calling our Customer Care Centre, and attempt to register later. It is mandatory to have at least one email ID and one mobile number registered. The same will apply if there is a recent change in your mobile number or email ID. View more",security
In what transactions is the One Time Password (IVR Password ) process applicable,The IVR Password process is applicable only for Credit Cards for: Registration through HDFC Bank website Registration during online shopping Password re-set through website Password re-set while shopping online View more,security
I don't see my Personal Assurance Message on the Secure page . What should I do,"Always look for your Personal Assurance Message before entering your Verified by Visa / MasterCard Securecode password. If your Personal Assurance Message does not appear on the secure page, do not enter your password. Please contact our Customer Care Center and update the same.",security
